model,term,estimate,se,ci_low,ci_high,n
participation,log_area,0.7231859498675935,0.051497179679836,0.6222533323897269,0.8241185673454602,1799
participation,rd,0.3228892402198962,0.1235440578973634,0.0807473362371325,0.5650311442026599,1799
participation,need,0.8798499635311241,0.9574396046394572,-0.9966971789344804,2.7563971059967285,1799
participation,log_gdp_pc,0.3377360799548746,0.3495003112392306,-0.3472719426595567,1.022744102569306,1799
participation,tertiary,0.2132204019253689,0.4719905400461147,-0.7118640576086261,1.1383048614593638,1799
participation,internet,1.3416075749748897,1.018300158445466,-0.6542240610296546,3.3374392109794337,1799
participation,log_population,0.109052720281566,0.1079810571050934,-0.1025862626569799,0.3206917032201121,1799
intensity_offset,rd,0.520559034677808,0.1221159297228726,0.2812162104823533,0.7599018588732627,1792
intensity_offset,need,1.2816174654978632,0.583017703566698,0.1389237641578855,2.4243111668378408,1792
intensity_offset,log_gdp_pc,-0.0449162487274521,0.2359176800898293,-0.5073064050197598,0.4174739075648555,1792
intensity_offset,tertiary,-0.9606278699349446,0.4269954468871934,-1.7975235673964294,-0.12373217247346,1792
intensity_offset,internet,2.167091934842039,0.8314739629424877,0.5374329133919722,3.7967509562921062,1792
intensity_offset,log_population,-0.1065176908566764,0.0552684364402662,-0.2148418357614394,0.0018064540480866,1792
intensity_free_area,log_area,0.8494090193779038,0.0482652922081982,0.7548107849465335,0.944007253809274,1792
intensity_free_area,rd,0.4514352237852348,0.1099513923511267,0.2359344547269936,0.6669359928434759,1792
intensity_free_area,need,0.981750039311983,0.5762170129634918,-0.1476145533757104,2.1111146319996763,1792
intensity_free_area,log_gdp_pc,0.0308056791839925,0.2277628614239244,-0.4156013262226865,0.4772126845906716,1792
intensity_free_area,tertiary,-0.8420397878956455,0.444402427764029,-1.7130525409553057,0.0289729651640144,1792
intensity_free_area,internet,1.8313821181002468,0.811918627970797,0.2400508489003097,3.422713387300184,1792
intensity_free_area,log_population,0.0155947464506747,0.0647859300433674,-0.1113833431392568,0.1425728360406064,1792
participation_cropFE,log_area,0.6683532292342582,0.057234972789314,0.5561747439110727,0.7805317145574437,1799
participation_cropFE,rd,0.3097092241959153,0.1415204718523557,0.0323341962901836,0.587084252101647,1799
participation_cropFE,need,0.6071202914721467,1.0393758506980466,-1.430018942296705,2.644259525240998,1799
participation_cropFE,log_gdp_pc,0.3201402949968588,0.3629828719968268,-0.3912930611218342,1.031573651115552,1799
participation_cropFE,tertiary,0.1010097349737685,0.5069296030400601,-0.8925540296819355,1.0945734996294725,1799
participation_cropFE,internet,1.064032408651589,1.077093991077531,-1.0470330218248778,3.175097839128056,1799
participation_cropFE,log_population,0.3093832088326503,0.1182585562430866,0.0776006977324961,0.5411657199328044,1799
intensity_cropFE,rd,0.5017443006159398,0.1067213102537339,0.2925743761356961,0.7109142250961834,1792
intensity_cropFE,need,1.2479152850595518,0.6018842610181984,0.0682438106023779,2.4275867595167258,1792
intensity_cropFE,log_gdp_pc,0.1350628465445904,0.201310627616743,-0.2594987332893803,0.5296244263785612,1792
intensity_cropFE,tertiary,-0.92339609307361,0.4629673558588304,-1.8307954365746568,-0.0159967495725635,1792
intensity_cropFE,internet,0.9236208412210214,0.8213685554391733,-0.6862319454734489,2.533473627915492,1792
intensity_cropFE,log_population,-0.1228173275805084,0.0564954546853426,-0.2335463840539946,-0.0120882711070222,1792
