iso3,evidence_gap_value,evidence_gap_lisa_I,evidence_gap_lisa_p,evidence_gap_lisa_cat_fdr,evidence_gap_lisa_cat_raw,evidence_gap_value_missing,wb_region,wb_income_group,n_studies_fractional,need_rank_pct,display_class
TUR,16.22691643417032,-0.1437626078792658,0.1963,Not significant,Not significant,False,Europe & Central Asia,Upper middle income,14.0,0.6787564766839378,Not significant
UGA,-25.614454629998676,0.6828047654299075,0.0067,Low-Low,Low-Low,False,Sub-Saharan Africa ,Low income,5.5,0.9740932642487048,Low-Low
UKR,9.395509499136438,0.0618343839425816,0.2606,Not significant,Not significant,False,Europe & Central Asia,Upper middle income,31.016666666666666,0.8393782383419689,Not significant
ARE,7.05726052876312,0.0012137172934844,0.4913,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,0.1191709844559585,Not significant
GBR,81.97688322040655,2.5384258940705866,0.0014,High-High,High-High,False,Europe & Central Asia,High income,18.833333333333332,0.0725388601036269,High-High
TZA,-13.803640228510702,0.3269830229495568,0.0134,Not significant,Low-Low,False,Sub-Saharan Africa ,Lower middle income,12.7,0.9585492227979274,Not significant
USA,86.01036269430051,0.698729765358362,0.2129,Not significant,Not significant,False,North America,High income,326.2261904761905,0.1398963730569948,Not significant
URY,35.028563836853984,0.4476568128769594,0.1101,Not significant,Not significant,False,Latin America & Caribbean ,High income,4.416666666666667,0.3471502590673575,Not significant
UZB,7.786634781453429,-0.0945517552901804,0.1176,Not significant,Not significant,False,Europe & Central Asia,Lower middle income,6.0,0.6580310880829016,Not significant
VUT,-25.585226517869,0.4897364826399814,0.0386,Not significant,Low-Low,False,East Asia & Pacific,Lower middle income,0.0,0.4455958549222797,Not significant
VEN,-6.90979141756344,-0.0055503128672435,0.4739,Not significant,Not significant,False,Latin America & Caribbean ,Lower middle income,0.5,0.4870466321243523,Not significant
VNM,36.34914308489438,0.1052829816319519,0.3898,Not significant,Not significant,False,East Asia & Pacific,Upper middle income,22.333333333333332,0.5595854922279793,Not significant
YEM,-70.66294672512288,0.3576921256476306,0.3056,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.0,0.8963730569948186,Not significant
ZMB,-17.799920286966923,0.3841322165394323,0.0227,Not significant,Low-Low,False,Sub-Saharan Africa ,Lower middle income,3.3333333333333335,0.8549222797927462,Not significant
ZWE,-20.401222266507233,0.2918606693651254,0.0903,Not significant,Not significant,False,Sub-Saharan Africa ,Lower middle income,4.0,0.8911917098445595,Not significant
