iso3,evidence_gap_value,evidence_gap_lisa_I,evidence_gap_lisa_p,evidence_gap_lisa_cat_fdr,evidence_gap_lisa_cat_raw,evidence_gap_value_missing,wb_region,wb_income_group,n_studies_fractional,need_rank_pct,display_class
CRI,15.13086222930783,-0.2522748751716585,0.0566,Not significant,Not significant,False,Latin America & Caribbean ,High income,3.0,0.4974093264248704,Not significant
HRV,43.355918692706254,0.9442271255074668,0.0174,Not significant,High-High,False,Europe & Central Asia,High income,3.090909090909091,0.2279792746113989,Not significant
CUB,-5.937292413976351,0.0852621449451767,0.1011,Not significant,Not significant,False,Latin America & Caribbean ,Upper middle income,1.0,0.538860103626943,Not significant
CYP,34.819981400292285,-0.2850097902096006,0.2219,Not significant,Not significant,False,Europe & Central Asia,High income,3.0,0.3005181347150259,Not significant
CZE,55.615783180550025,1.6330600334498766,0.002,High-High,High-High,False,Europe & Central Asia,High income,13.757575757575758,0.2746113989637305,High-High
CIV,-33.91656702537532,0.6712127573163164,0.0331,Not significant,Low-Low,False,Sub-Saharan Africa ,Lower middle income,1.0,0.8186528497409327,Not significant
PRK,-35.32084495815066,-1.0020766070537968,0.0036,Low-High,Low-High,False,East Asia & Pacific,Low income,2.0,0.9378238341968912,Low-High
COD,-75.84429387538196,2.068308691493527,0.005,Low-Low,Low-Low,False,Sub-Saharan Africa ,Low income,0.0,0.9481865284974094,Low-Low
DNK,66.06881891855986,2.7371090478751117,0.0001,High-High,High-High,False,Europe & Central Asia,High income,6.833333333333333,0.082901554404145,High-High
DJI,-5.896107346884548,0.2041982276012085,0.0011,Low-Low,Low-Low,False,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.0,0.2487046632124352,Low-Low
DMA,-11.59558921216952,-0.0350433660911275,0.4016,Not significant,Not significant,False,Latin America & Caribbean ,Upper middle income,0.0,0.3056994818652849,Not significant
DOM,-12.63185864222134,0.1143336360631338,0.2022,Not significant,Not significant,False,Latin America & Caribbean ,Upper middle income,0.0,0.3160621761658031,Not significant
ECU,-12.111066826092738,0.0006829736408263,0.4856,Not significant,Not significant,False,Latin America & Caribbean ,Upper middle income,4.0,0.8082901554404145,Not significant
EGY,17.79726318586421,-0.0554416304900864,0.377,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,12.75,0.6476683937823834,Not significant
SLV,-35.42978610336124,0.3996539115262393,0.1469,Not significant,Not significant,False,Latin America & Caribbean ,Upper middle income,0.0,0.5440414507772021,Not significant
GNQ,-18.331340507506308,0.5264842991219721,0.004,Low-Low,Low-Low,False,Sub-Saharan Africa ,Upper middle income,0.0,0.3730569948186528,Low-Low
ERI,-60.81838713963066,1.011787998862187,0.0562,Not significant,Not significant,False,Sub-Saharan Africa ,Low income,0.0,0.7979274611398963,Not significant
EST,21.523847482396707,0.5398490953457398,0.0075,High-High,High-High,False,Europe & Central Asia,High income,1.0,0.2642487046632124,High-High
SWZ,-0.6058190514148976,0.0138065768317798,0.082,Not significant,Not significant,False,Sub-Saharan Africa ,Lower middle income,2.0,0.5906735751295337,Not significant
ETH,8.327354855852263,-0.1716246609118844,0.0219,Not significant,High-Low,False,Sub-Saharan Africa ,Low income,39.45,0.8808290155440415,Not significant
FRO,,-8.084334070123431e-18,0.0004,Low-High,Low-High,True,Europe & Central Asia,High income,0.0,,no data
FJI,-41.64740268367211,0.4510376134161619,0.1534,Not significant,Not significant,False,East Asia & Pacific,Upper middle income,0.0,0.6062176165803109,Not significant
FIN,50.80244453301447,1.0702572410763418,0.0203,Not significant,High-High,False,Europe & Central Asia,High income,5.625,0.2176165803108808,Not significant
FRA,61.80151454762854,1.6822444488653407,0.0033,High-High,High-High,False,Europe & Central Asia,High income,14.517857142857142,0.2435233160621761,High-High
PYF,17.419954829281256,-0.0861883588188159,0.3213,Not significant,Not significant,False,East Asia & Pacific,High income,0.0,0.0155440414507772,Not significant
GAB,-40.611133253620295,1.426684455120152,0.0004,Low-Low,Low-Low,False,Sub-Saharan Africa ,Upper middle income,0.0,0.5958549222797928,Low-Low
GMB,-61.33652185465657,0.9355512767206452,0.0722,Not significant,Not significant,False,Sub-Saharan Africa ,Low income,0.0,0.8031088082901554,Not significant
GEO,-20.381294008237013,0.1315244712272836,0.2761,Not significant,Not significant,False,Europe & Central Asia,Upper middle income,0.5,0.6217616580310881,Not significant
DEU,78.80961870599175,2.7993804380789142,0.0002,High-High,High-High,False,Europe & Central Asia,High income,36.708333333333336,0.160621761658031,High-High
GHA,10.078384482529572,-0.2020742864276048,0.0271,Not significant,High-Low,False,Sub-Saharan Africa ,Lower middle income,9.083333333333332,0.6735751295336787,Not significant
GRC,42.22930782516275,0.5192073752407507,0.1222,Not significant,Not significant,False,Europe & Central Asia,High income,7.0,0.3264248704663212,Not significant
GRD,-1.751029626677294,0.0024875503880126,0.4467,Not significant,Not significant,False,Latin America & Caribbean ,Upper middle income,0.0,0.2072538860103626,Not significant
GTM,-27.698950445064433,0.3383228816056545,0.1291,Not significant,Not significant,False,Latin America & Caribbean ,Upper middle income,1.0,0.7564766839378239,Not significant
GIN,-27.635180018599712,0.6809607037267225,0.011,Not significant,Low-Low,False,Sub-Saharan Africa ,Lower middle income,0.5,0.694300518134715,Not significant
GNB,-34.952836455427125,0.8439549661858513,0.0118,Not significant,Low-Low,False,Sub-Saharan Africa ,Low income,1.0,0.8290155440414507,Not significant
GUY,11.202338248970374,-0.0476392209933517,0.3417,Not significant,Not significant,False,Latin America & Caribbean ,High income,0.0,0.077720207253886,Not significant
HTI,-72.73548558522651,0.1362620305668976,0.4147,Not significant,Not significant,False,Latin America & Caribbean ,Lower middle income,0.0,0.917098445595855,Not significant
HND,-18.17457154244719,0.2437281079258045,0.1059,Not significant,Not significant,False,Latin America & Caribbean ,Lower middle income,1.25,0.7202072538860104,Not significant
HUN,45.71808157300385,0.8910078538896689,0.0305,Not significant,High-High,False,Europe & Central Asia,High income,16.09090909090909,0.4248704663212435,Not significant
ISL,9.129799388866749,0.3117112715796206,0.0004,High-High,High-High,False,Europe & Central Asia,High income,0.0,0.0984455958549222,High-High
IND,25.393915238474833,0.0704600152037283,0.3947,Not significant,Not significant,False,South Asia,Lower middle income,292.59285714285716,0.7409326424870466,Not significant
IDN,43.06363757140958,0.1183802144991339,0.394,Not significant,Not significant,False,East Asia & Pacific,Upper middle income,34.875,0.5129533678756477,Not significant
IRN,21.78291483990965,-0.3844912591117821,0.0461,Not significant,High-Low,False,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,49.5,0.7616580310880829,Not significant
IRQ,-4.098578450910054,0.0539434740348736,0.125,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,5.0,0.7461139896373057,Not significant
IRL,42.249236083432976,1.2198278461208445,0.0028,High-High,High-High,False,Europe & Central Asia,High income,1.0,0.0569948186528497,High-High
