iso3,research_share,production_share,n_studies_fractional,n_production_cells,fao_area_name,wb_region,wb_income_group,research_share_pct,production_share_pct,labelled_in_figure,plot_group,clipped_to_left_edge
ATG,0.0,7.100431155248037e-08,0.0,7,Antigua and Barbuda,Latin America & Caribbean ,High income,0.0,7.100431155248037e-06,False,zero-research strip,True
BDI,0.0,0.0009112185462152748,0.0,18,Burundi,Sub-Saharan Africa ,Low income,0.0,0.09112185462152748,False,zero-research strip,False
BHR,0.0,9.99493774191577e-09,0.0,4,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,9.99493774191577e-07,False,zero-research strip,True
BHS,0.0,1.0479845021720878e-05,0.0,5,Bahamas,Latin America & Caribbean ,High income,0.0,0.0010479845021720878,False,zero-research strip,False
BLZ,0.0,0.0002720367749273249,0.0,14,Belize,Latin America & Caribbean ,Upper middle income,0.0,0.027203677492732493,False,zero-research strip,False
BRB,0.0,1.4571720230984244e-05,0.0,8,Barbados,Latin America & Caribbean ,High income,0.0,0.0014571720230984245,False,zero-research strip,False
TUV,0.0,3.9475075070174015e-08,0.0,1,Tuvalu,East Asia & Pacific,Upper middle income,0.0,3.9475075070174016e-06,False,zero-research strip,True
BRN,0.0,8.482418417906897e-07,0.0,6,Brunei Darussalam,East Asia & Pacific,High income,0.0,8.482418417906897e-05,False,zero-research strip,True
BTN,0.0,1.9150887265747413e-05,0.0,17,Bhutan,South Asia,Lower middle income,0.0,0.0019150887265747412,False,zero-research strip,False
TTO,0.0,1.989820136719487e-06,0.0,9,Trinidad and Tobago,Latin America & Caribbean ,High income,0.0,0.0001989820136719487,False,zero-research strip,True
COM,0.0,2.746044026887385e-05,0.0,9,Comoros,Sub-Saharan Africa ,Lower middle income,0.0,0.002746044026887385,False,zero-research strip,False
TLS,0.0,2.536928296447559e-05,0.0,10,Timor-Leste,East Asia & Pacific,Lower middle income,0.0,0.0025369282964475587,False,zero-research strip,False
SGP,0.0,6.599397248771783e-11,0.0,4,Singapore,East Asia & Pacific,High income,0.0,6.5993972487717825e-09,False,zero-research strip,True
REU,0.0,,0.0,0,,,,0.0,,False,no production denominator,False
SDN,0.0,0.0023566097308932135,0.0,16,Sudan,Sub-Saharan Africa ,Low income,0.0,0.23566097308932135,False,zero-research strip,False
ISL,0.0,1.9341162949294597e-06,0.0,2,Iceland,Europe & Central Asia,High income,0.0,0.00019341162949294596,False,zero-research strip,True
GRD,0.0,1.8939421218851731e-06,0.0,9,Grenada,Latin America & Caribbean ,Upper middle income,0.0,0.0001893942121885173,False,zero-research strip,True
MUS,0.0,0.0003899134774069028,0.0,9,Mauritius,Sub-Saharan Africa ,Upper middle income,0.0,0.038991347740690276,False,zero-research strip,False
MTQ,0.0,,0.0,0,,,,0.0,,False,no production denominator,False
GUF,0.0,,0.0,0,,,,0.0,,False,no production denominator,False
GUY,0.0,0.00030373130632083747,0.0,12,Guyana,Latin America & Caribbean ,High income,0.0,0.030373130632083748,False,zero-research strip,False
