iso3,n_studies_fractional,intensity_class,intensity_label,share_of_world_pct
KGZ,1.0,1,0 < n <= 1,0.04942787237723353
CIV,1.0,1,0 < n <= 1,0.04942787237723353
ISR,1.0,1,0 < n <= 1,0.04942787237723353
ARM,0.5,1,0 < n <= 1,0.024713936188616763
VEN,0.5,1,0 < n <= 1,0.024713936188616763
BWA,0.5,1,0 < n <= 1,0.024713936188616763
NAM,0.5,1,0 < n <= 1,0.024713936188616763
SOM,0.25,1,0 < n <= 1,0.012356968094308382
SYR,0.25,1,0 < n <= 1,0.012356968094308382
SVN,0.09090909090909091,1,0 < n <= 1,0.004493442943384866
MNE,0.09090909090909091,1,0 < n <= 1,0.004493442943384866
SVK,0.09090909090909091,1,0 < n <= 1,0.004493442943384866
CAF,0.0,0,0 (no resolved study),0.0
SYC,0.0,0,0 (no resolved study),0.0
TCD,0.0,0,0 (no resolved study),0.0
STP,0.0,0,0 (no resolved study),0.0
SUR,0.0,0,0 (no resolved study),0.0
COD,0.0,0,0 (no resolved study),0.0
COG,0.0,0,0 (no resolved study),0.0
SLV,0.0,0,0 (no resolved study),0.0
COK,0.0,0,0 (no resolved study),0.0
SLB,0.0,0,0 (no resolved study),0.0
SGP,0.0,0,0 (no resolved study),0.0
COM,0.0,0,0 (no resolved study),0.0
TGO,0.0,0,0 (no resolved study),0.0
LBR,0.0,0,0 (no resolved study),0.0
TJK,0.0,0,0 (no resolved study),0.0
TKM,0.0,0,0 (no resolved study),0.0
ARE,0.0,0,0 (no resolved study),0.0
YEM,0.0,0,0 (no resolved study),0.0
WSM,0.0,0,0 (no resolved study),0.0
VUT,0.0,0,0 (no resolved study),0.0
VCT,0.0,0,0 (no resolved study),0.0
ATG,0.0,0,0 (no resolved study),0.0
BDI,0.0,0,0 (no resolved study),0.0
BHR,0.0,0,0 (no resolved study),0.0
BHS,0.0,0,0 (no resolved study),0.0
BLZ,0.0,0,0 (no resolved study),0.0
BRB,0.0,0,0 (no resolved study),0.0
TUV,0.0,0,0 (no resolved study),0.0
BRN,0.0,0,0 (no resolved study),0.0
BTN,0.0,0,0 (no resolved study),0.0
SDN,0.0,0,0 (no resolved study),0.0
TON,0.0,0,0 (no resolved study),0.0
TLS,0.0,0,0 (no resolved study),0.0
TTO,0.0,0,0 (no resolved study),0.0
REU,0.0,0,0 (no resolved study),0.0
CPV,0.0,0,0 (no resolved study),0.0
DJI,0.0,0,0 (no resolved study),0.0
NCL,0.0,0,0 (no resolved study),0.0
GRD,0.0,0,0 (no resolved study),0.0
MUS,0.0,0,0 (no resolved study),0.0
MTQ,0.0,0,0 (no resolved study),0.0
GUF,0.0,0,0 (no resolved study),0.0
GUY,0.0,0,0 (no resolved study),0.0
HKG,0.0,0,0 (no resolved study),0.0
HTI,0.0,0,0 (no resolved study),0.0
MLT,0.0,0,0 (no resolved study),0.0
ISL,0.0,0,0 (no resolved study),0.0
MDV,0.0,0,0 (no resolved study),0.0
JAM,0.0,0,0 (no resolved study),0.0
JOR,0.0,0,0 (no resolved study),0.0
KIR,0.0,0,0 (no resolved study),0.0
KNA,0.0,0,0 (no resolved study),0.0
KWT,0.0,0,0 (no resolved study),0.0
LSO,0.0,0,0 (no resolved study),0.0
AGO,0.0,0,0 (no resolved study),0.0
LCA,0.0,0,0 (no resolved study),0.0
GNQ,0.0,0,0 (no resolved study),0.0
NIC,0.0,0,0 (no resolved study),0.0
NIU,0.0,0,0 (no resolved study),0.0
PRI,0.0,0,0 (no resolved study),0.0
DMA,0.0,0,0 (no resolved study),0.0
LBY,0.0,0,0 (no resolved study),0.0
QAT,0.0,0,0 (no resolved study),0.0
PYF,0.0,0,0 (no resolved study),0.0
PSE,0.0,0,0 (no resolved study),0.0
PRY,0.0,0,0 (no resolved study),0.0
DOM,0.0,0,0 (no resolved study),0.0
ERI,0.0,0,0 (no resolved study),0.0
PNG,0.0,0,0 (no resolved study),0.0
GMB,0.0,0,0 (no resolved study),0.0
FJI,0.0,0,0 (no resolved study),0.0
FRO,0.0,0,0 (no resolved study),0.0
FSM,0.0,0,0 (no resolved study),0.0
GAB,0.0,0,0 (no resolved study),0.0
OMN,0.0,0,0 (no resolved study),0.0
GEO,0.0,0,0 (no resolved study),0.0
GIN,0.0,0,0 (no resolved study),0.0
GLP,0.0,0,0 (no resolved study),0.0
AFG,0.0,0,0 (no resolved study),0.0
