iso3,fao_area_name,wb_region,wb_income_group,n_studies_fractional,need_rank_pct,research_pct,evidence_gap,need_pct_0_100,research_minus_need_pctpts,high_need_low_research_quadrant
PRY,Paraguay,Latin America & Caribbean ,Upper middle income,0.0,0.5077720207253886,18.974358974358974,-31.80284309817989,50.77720207253886,-31.80284309817989,True
MOZ,Mozambique,Sub-Saharan Africa ,Low income,3.25,0.9792746113989638,67.17948717948717,-30.74797396040921,97.92746113989638,-30.74797396040921,False
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0.0,0.49222797927461137,18.974358974358974,-30.248438953102163,49.22279792746114,-30.248438953102163,False
NAM,Namibia,Sub-Saharan Africa ,Lower middle income,0.5,0.7046632124352331,41.794871794871796,-28.671449448651515,70.46632124352331,-28.671449448651515,True
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,1.0,0.7564766839378239,47.94871794871795,-27.698950445064433,75.64766839378238,-27.698950445064433,True
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,0.5,0.694300518134715,41.794871794871796,-27.635180018599712,69.43005181347151,-27.635180018599712,True
MLI,Mali,Sub-Saharan Africa ,Low income,2.0,0.8601036269430051,58.46153846153847,-27.548824232762044,86.01036269430051,-27.548824232762044,False
BOL,Bolivia (Plurinational State of),Latin America & Caribbean ,Lower middle income,1.0,0.7512953367875648,47.94871794871795,-27.180815730038525,75.12953367875647,-27.180815730038525,True
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,0.46113989637305697,18.974358974358974,-27.139630662946725,46.1139896373057,-27.139630662946725,False
UGA,Uganda,Sub-Saharan Africa ,Low income,5.5,0.9740932642487047,71.7948717948718,-25.614454629998676,97.40932642487047,-25.614454629998676,False
VUT,Vanuatu,East Asia & Pacific,Lower middle income,0.0,0.44559585492227977,18.974358974358974,-25.585226517869,44.559585492227974,-25.585226517869,False
SLE,Sierra Leone,Sub-Saharan Africa ,Low income,3.0,0.9015544041450777,64.87179487179488,-25.28364554271289,90.15544041450777,-25.28364554271289,False
PSE,Palestine,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.0,0.43523316062176165,18.974358974358974,-24.54895708781719,43.523316062176164,-24.54895708781719,False
NER,Niger,Sub-Saharan Africa ,Low income,2.5,0.8756476683937824,63.589743589743584,-23.975023249634653,87.56476683937824,-23.975023249634653,False
BEN,Benin,Sub-Saharan Africa ,Lower middle income,2.25,0.844559585492228,62.30769230769231,-22.148266241530493,84.4559585492228,-22.148266241530493,False
FSM,Micronesia (Federated States of),East Asia & Pacific,Upper middle income,0.0,0.40932642487046633,18.974358974358974,-21.95828351268766,40.932642487046635,-21.95828351268766,False
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,0.5,0.6373056994818653,41.794871794871796,-21.93569815331474,63.730569948186535,-21.93569815331474,True
SUR,Suriname,Latin America & Caribbean ,Upper middle income,0.0,0.39896373056994816,18.974358974358974,-20.922014082635844,39.89637305699482,-20.922014082635844,False
ARM,Armenia,Europe & Central Asia,Upper middle income,0.5,0.6269430051813472,41.794871794871796,-20.899428723262922,62.69430051813472,-20.899428723262922,True
BLZ,Belize,Latin America & Caribbean ,Upper middle income,0.0,0.39378238341968913,18.974358974358974,-20.403879367609935,39.37823834196891,-20.403879367609935,False
ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,4.0,0.8911917098445595,68.71794871794872,-20.401222266507233,89.11917098445595,-20.401222266507233,False
GEO,Georgia,Europe & Central Asia,Upper middle income,0.5,0.6217616580310881,41.794871794871796,-20.381294008237013,62.17616580310881,-20.381294008237013,True
MWI,Malawi,Sub-Saharan Africa ,Low income,5.116666666666667,0.9119170984455959,71.28205128205128,-19.909658562508298,91.19170984455958,-19.909658562508298,False
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,2.0,0.7823834196891192,58.46153846153847,-19.776803507373444,78.23834196891191,-19.776803507373444,False
MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,1.0,0.6683937823834197,47.94871794871795,-18.89066028962403,66.83937823834198,-18.89066028962403,True
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,0.0,0.37305699481865284,18.974358974358974,-18.331340507506308,37.30569948186528,-18.331340507506308,False
HND,Honduras,Latin America & Caribbean ,Lower middle income,1.25,0.7202072538860104,53.84615384615385,-18.17457154244719,72.02072538860104,-18.17457154244719,False
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,0.36787564766839376,18.974358974358974,-17.8132057924804,36.787564766839374,-17.8132057924804,False
ZMB,Zambia,Sub-Saharan Africa ,Lower middle income,3.3333333333333335,0.8549222797927462,67.6923076923077,-17.799920286966923,85.49222797927462,-17.799920286966923,False
TON,Tonga,East Asia & Pacific,Upper middle income,0.0,0.3626943005181347,18.974358974358974,-17.295071077454498,36.26943005181347,-17.295071077454498,False
MMR,Myanmar,East Asia & Pacific,Lower middle income,2.1666666666666665,0.7875647668393783,61.53846153846154,-17.21801514547628,78.75647668393782,-17.21801514547628,False
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,0.35751295336787564,18.974358974358974,-16.77693636242859,35.751295336787564,-16.77693636242859,False
TZA,United Republic of Tanzania,Sub-Saharan Africa ,Lower middle income,12.7,0.9585492227979274,82.05128205128204,-13.803640228510702,95.85492227979275,-13.803640228510702,False
TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,0.0,0.32124352331606215,18.974358974358974,-13.149993357247244,32.12435233160622,-13.149993357247244,False
RWA,Rwanda,Sub-Saharan Africa ,Low income,9.25,0.9067357512953368,77.94871794871796,-12.724857180815718,90.67357512953367,-12.724857180815718,False
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,0.0,0.3160621761658031,18.974358974358974,-12.631858642221339,31.606217616580313,-12.631858642221339,False
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,4.0,0.8082901554404145,68.71794871794872,-12.111066826092738,80.82901554404145,-12.111066826092738,False
DMA,Dominica,Latin America & Caribbean ,Upper middle income,0.0,0.30569948186528495,18.974358974358974,-11.595589212169521,30.569948186528496,-11.595589212169521,False
KHM,Cambodia,East Asia & Pacific,Lower middle income,2.0,0.6632124352331606,58.46153846153847,-7.859705061777603,66.32124352331607,-7.859705061777603,False
KEN,Kenya,Sub-Saharan Africa ,Lower middle income,21.916666666666664,0.9948186528497409,91.7948717948718,-7.686993490102296,99.48186528497409,-7.686993490102296,False
MUS,Mauritius,Sub-Saharan Africa ,Upper middle income,0.0,0.25906735751295334,18.974358974358974,-6.9323767769363585,25.906735751295333,-6.9323767769363585,False
VEN,Venezuela (Bolivarian Republic of),Latin America & Caribbean ,Lower middle income,0.5,0.48704663212435234,41.794871794871796,-6.90979141756344,48.704663212435236,-6.90979141756344,False
CUB,Cuba,Latin America & Caribbean ,Upper middle income,1.0,0.538860103626943,47.94871794871795,-5.937292413976351,53.8860103626943,-5.937292413976351,True
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.0,0.24870466321243523,18.974358974358974,-5.896107346884548,24.870466321243523,-5.896107346884548,False
KGZ,Kyrgyzstan,Europe & Central Asia,Lower middle income,1.0,0.5284974093264249,47.94871794871795,-4.901022983924534,52.84974093264248,-4.901022983924534,True
LCA,Saint Lucia,Latin America & Caribbean ,Upper middle income,0.0,0.23834196891191708,18.974358974358974,-4.859837916832735,23.83419689119171,-4.859837916832735,False
ALB,Albania,Europe & Central Asia,Upper middle income,1.0,0.5233160621761658,47.94871794871795,-4.3828882688986255,52.331606217616574,-4.3828882688986255,True
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,5.0,0.7461139896373057,70.51282051282051,-4.098578450910054,74.61139896373057,-4.098578450910054,False
ROU,Romania,Europe & Central Asia,High income,1.0909090909090908,0.5699481865284974,53.07692307692308,-3.9178955759266643,56.994818652849744,-3.9178955759266643,False
NCL,New Caledonia,East Asia & Pacific,High income,0.0,0.21243523316062177,18.974358974358974,-2.2691643417032026,21.243523316062177,-2.2691643417032026,False
GRD,Grenada,Latin America & Caribbean ,Upper middle income,0.0,0.20725388601036268,18.974358974358974,-1.751029626677294,20.72538860103627,-1.751029626677294,False
SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,2.0,0.5906735751295337,58.46153846153847,-0.6058190514148976,59.067357512953365,-0.6058190514148976,False
VCT,Saint Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,0.0,0.18134715025906736,18.974358974358974,0.8396439484522382,18.134715025906736,0.8396439484522382,False
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2.0,0.5751295336787565,58.46153846153847,0.948585093662814,57.51295336787565,0.948585093662814,False
KIR,Kiribati,East Asia & Pacific,Lower middle income,0.0,0.17616580310880828,18.974358974358974,1.3577786634781468,17.616580310880828,1.3577786634781468,False
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,0.16580310880829016,18.974358974358974,2.394048093529957,16.580310880829018,2.394048093529957,False
NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,38.8,0.9222797927461139,95.8974358974359,3.669456622824498,92.2279792746114,3.669456622824498,False
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,7.699999999999999,0.7150259067357513,75.38461538461539,3.882024711040259,71.50259067357513,3.882024711040259,False
WSM,Samoa,East Asia & Pacific,Upper middle income,0.0,0.14507772020725387,18.974358974358974,4.466586953633588,14.507772020725387,4.466586953633588,False
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,1.0909090909090908,0.47150259067357514,53.07692307692308,5.926664009565563,47.15025906735752,5.926664009565563,False
BRB,Barbados,Latin America & Caribbean ,High income,0.0,0.12953367875647667,18.974358974358974,6.020991098711308,12.953367875647666,6.020991098711308,False
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,0.12435233160621761,18.974358974358974,6.539125813737213,12.435233160621761,6.539125813737213,False
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,0.11917098445595854,18.974358974358974,7.05726052876312,11.917098445595855,7.05726052876312,False
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,6.0,0.6580310880829016,73.58974358974359,7.786634781453429,65.80310880829016,7.786634781453429,False
MDV,Maldives,South Asia,Upper middle income,0.0,0.10880829015544041,18.974358974358974,8.093529958814933,10.880829015544041,8.093529958814933,False
ETH,Ethiopia,Sub-Saharan Africa ,Low income,39.45,0.8808290155440415,96.41025641025641,8.327354855852263,88.08290155440415,8.327354855852263,False
ISL,Iceland,Europe & Central Asia,High income,0.0,0.09844559585492228,18.974358974358974,9.129799388866747,9.844559585492227,9.129799388866747,False
UKR,Ukraine,Europe & Central Asia,Upper middle income,31.016666666666666,0.8393782383419689,93.33333333333333,9.395509499136438,83.93782383419689,9.395509499136438,False
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,9.083333333333332,0.6735751295336787,77.43589743589745,10.078384482529572,67.35751295336787,10.078384482529572,False
PAN,Panama,Latin America & Caribbean ,High income,1.0,0.37823834196891193,47.94871794871795,10.124883751826758,37.82383419689119,10.124883751826758,False
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2.25,0.5181347150259067,62.30769230769231,10.49422080510164,51.813471502590666,10.49422080510164,False
GUY,Guyana,Latin America & Caribbean ,High income,0.0,0.07772020725388601,18.974358974358974,11.202338248970374,7.772020725388601,11.202338248970374,False
SVK,Slovakia,Europe & Central Asia,High income,0.09090909090909091,0.2694300518134715,38.46153846153847,11.518533280191317,26.94300518134715,11.518533280191317,False
HKG,"China, Hong Kong SAR",East Asia & Pacific,High income,0.0,0.06735751295336788,18.974358974358974,12.238607679022188,6.7357512953367875,12.238607679022188,False
MNG,Mongolia,East Asia & Pacific,Upper middle income,1.6666666666666665,0.43005181347150256,55.38461538461539,12.379434037465131,43.005181347150256,12.379434037465131,False
BGD,Bangladesh,South Asia,Lower middle income,32.66666666666667,0.8134715025906736,93.84615384615384,12.499003587086477,81.34715025906736,12.499003587086477,False
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,0.0,0.06217616580310881,18.974358974358974,12.756742394048093,6.217616580310881,12.756742394048093,False
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,19.0,0.7668393782383419,89.74358974358975,13.059651919755566,76.68393782383419,13.059651919755566,False
BHS,Bahamas,Latin America & Caribbean ,High income,0.0,0.05181347150259067,18.974358974358974,13.793011824099906,5.181347150259067,13.793011824099906,False
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,49.266666666666666,0.8341968911917098,97.43589743589743,14.016208316726448,83.41968911917098,14.016208316726448,False
KNA,Saint Kitts and Nevis,Latin America & Caribbean ,High income,0.0,0.046632124352331605,18.974358974358974,14.311146539125815,4.66321243523316,14.311146539125815,False
BRN,Brunei Darussalam,East Asia & Pacific,High income,0.0,0.04145077720207254,18.974358974358974,14.82928125415172,4.145077720207254,14.82928125415172,False
CRI,Costa Rica,Latin America & Caribbean ,High income,3.0,0.49740932642487046,64.87179487179488,15.13086222930783,49.740932642487046,15.13086222930783,False
SEN,Senegal,Sub-Saharan Africa ,Lower middle income,14.0,0.689119170984456,84.1025641025641,15.190647004118503,68.9119170984456,15.190647004118503,False
PRI,Puerto Rico,Latin America & Caribbean ,High income,0.0,0.03626943005181347,18.974358974358974,15.347415969177629,3.6269430051813467,15.347415969177629,False
TUR,Türkiye,Europe & Central Asia,Upper middle income,14.0,0.6787564766839378,84.1025641025641,16.22691643417032,67.87564766839378,16.22691643417032,False
COL,Colombia,Latin America & Caribbean ,Upper middle income,10.75,0.6321243523316062,79.48717948717949,16.274744254018863,63.212435233160626,16.274744254018863,False
SYC,Seychelles,Sub-Saharan Africa ,High income,0.0,0.025906735751295335,18.974358974358974,16.383685399229442,2.5906735751295336,16.383685399229442,False
LVA,Latvia,Europe & Central Asia,High income,1.0,0.31088082901554404,47.94871794871795,16.860635047163544,31.088082901554404,16.860635047163544,False
TUV,Tuvalu,East Asia & Pacific,Upper middle income,0.0,0.02072538860103627,18.974358974358974,16.901820114255347,2.072538860103627,16.901820114255347,False
PYF,French Polynesia,East Asia & Pacific,High income,0.0,0.015544041450777202,18.974358974358974,17.419954829281256,1.5544041450777202,17.419954829281256,False
EGY,Egypt,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,12.75,0.6476683937823834,82.56410256410255,17.79726318586421,64.76683937823834,17.79726318586421,False
SGP,Singapore,East Asia & Pacific,High income,0.0,0.010362694300518135,18.974358974358974,17.93808954430716,1.0362694300518136,17.93808954430716,False
COK,Cook Islands,,,0.0,0.0051813471502590676,18.974358974358974,18.45622425933307,0.5181347150259068,18.45622425933307,False
LTU,Lithuania,Europe & Central Asia,High income,1.0,0.29015544041450775,47.94871794871795,18.933173907267175,29.015544041450774,18.933173907267175,False
SVN,Slovenia,Europe & Central Asia,High income,0.09090909090909091,0.19170984455958548,38.46153846153847,19.29055400557992,19.170984455958546,19.29055400557992,False
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,5.0,0.5025906735751295,70.51282051282051,20.253753155307557,50.259067357512954,20.253753155307557,False
PER,Peru,Latin America & Caribbean ,Upper middle income,12.25,0.6113989637305699,81.53846153846153,20.39856516540454,61.13989637305699,20.39856516540454,False
BLR,Belarus,Europe & Central Asia,Upper middle income,4.0,0.47668393782383417,68.71794871794872,21.049554935565297,47.66839378238342,21.049554935565297,False
EST,Estonia,Europe & Central Asia,High income,1.0,0.26424870466321243,47.94871794871795,21.523847482396707,26.42487046632124,21.523847482396707,False
IRN,Iran (Islamic Republic of),"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,49.5,0.7616580310880829,97.94871794871794,21.78291483990965,76.16580310880829,21.78291483990965,False
ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,11.583333333333332,0.5544041450777202,80.0,24.55958549222798,55.44041450777202,24.55958549222798,False
BGR,Bulgaria,Europe & Central Asia,High income,3.2159090909090913,0.41968911917098445,66.66666666666666,24.69775474956821,41.968911917098445,24.69775474956821,False
MKD,North Macedonia,Europe & Central Asia,Upper middle income,2.0,0.33678756476683935,58.46153846153847,24.78278198485453,33.67875647668394,24.78278198485453,False
IND,India,South Asia,Lower middle income,292.59285714285716,0.7409326424870466,99.48717948717949,25.393915238474833,74.09326424870466,25.393915238474833,False
