crop_standard_name,attention,area_ha,attention_share_pct,area_share_pct,plotted_in_figure
wheat,565.5845238095238,216635626.0,27.955639661395537,17.85497604820292,True
maize,450.25119047619046,200566568.0,22.2549583805546,16.53057409731058,True
rice,389.8,164412001.4,19.266984652645625,13.550736788943963,True
soybean,133.21666666666667,128407636.73333335,6.584616398520458,10.58327903223087,True
sugarcane,79.35,26296851.55,3.9221016731334792,2.1673704516559886,True
cotton,59.06666666666667,32816617.8,2.9195396617485936,2.704725605944563,True
barley,53.892857142857146,48729803.4,2.6638092649016207,4.016280648782289,True
potato,50.20952380952381,16944929.5,2.4817499349788106,1.3965907452405224,True
rapeseed_canola,35.49285714285714,36663208.53333333,1.754336413160524,3.021759266007963,True
coffee_cocoa,25.783333333333335,23767137.2,1.274415309459671,1.9588729392106201,True
sorghum,23.4,40716497.4,1.1566122136272643,3.355828860040391,True
millet,22.45,31052441.8,1.1096557348688925,2.5593232969780106,True
sunflower,21.566666666666666,27953377.066666666,1.0659944476023362,2.30390027350219,True
groundnut,21.066666666666666,30728037.400000002,1.0412805114137194,2.5325860843649215,True
oat_rye,15.00952380952381,17541762.0,0.7418888273001908,1.4457813155499926,True
pulses,13.642857142857142,10032555.266666668,0.6743374017179715,0.8268770806358757,False
beans,13.25,49248297.93333333,0.6549193089983442,4.059014651701046,False
banana_plantain,12.333333333333334,12182930.4,0.6096104259858801,1.0041096864138277,False
sugarbeet,8.233333333333333,4500295.9,0.40695614923922263,0.3709116408412244,False
chickpea,7.75,14304352.933333334,0.3830660109235598,1.1789560365740945,False
oilpalm,7.5,27182178.0,0.3707090428292514,2.2403385172113306,False
yam,5.5,9612048.0,0.27185329807478437,0.79221912841878,False
cassava,5.3,30380986.8,0.2619677235993377,2.5039823857723618,False
sweet_potato,2.1666666666666665,7293421.2,0.10709372348400595,0.6011193229845557,False
lentil,1.3333333333333333,5337167.6,0.06590382983631135,0.43988609548110363,False
