term,ame,se,ci_low,ci_high,p_value,p25,p75,iqr_dprob
log_area,0.08068595062085437,0.004424072069617051,0.07201492863099945,0.0893569726107093,0.0,8.27203402652972,12.33776384351839,0.3499020712779667
rd,0.03571326048127173,0.013818956530733057,0.008628603163470042,0.06279791779907341,0.00975578155171819,0.17611,0.93978,0.02721562181588011
need,0.10749507051080137,0.1075267676285866,-0.10325352307759372,0.31824366409919647,0.3174531868476236,0.25,0.7553191489361702,0.052641799191267796
log_gdp_pc,0.0397049995726829,0.039611864349787515,-0.037932828525784036,0.11734282767114984,0.31617400472213,8.813760698811826,10.532527576050427,0.07048396276195262
tertiary,0.029234795026880048,0.05288706841881885,-0.07442195513954182,0.13289154519330193,0.5804156016303315,0.153302400879779,0.712404708862305,0.016406417948792246
internet,0.1489014500485212,0.11127919225773679,-0.06920176072572162,0.36700466082276406,0.18086746432195433,0.5459,0.9086718789,0.05577393232472505
log_population,0.012581527024897753,0.012049108380314994,-0.011034291632617946,0.03619734568241345,0.29639870020532477,15.76249184742953,17.820124558654015,0.026299070235530214
