iso3,gap,research_pct,lisa_cat_gap9
MKD,21.22749590834698,58.46153846153847,Not significant
NOR,39.3126022913257,58.46153846153847,High-High
OMN,-40.60010911074741,18.974358974358974,Not significant
PAK,30.41462084015275,97.43589743589743,Not significant
PSE,-43.25968357883252,18.974358974358974,Not significant
PAN,9.650845608292414,47.94871794871795,Not significant
PNG,-60.81287506819422,18.974358974358974,Not significant
PRY,-18.79159847244954,18.974358974358974,Not significant
PER,30.47463175122749,81.53846153846153,Not significant
PHL,43.810692853246046,80.51282051282051,Not significant
POL,72.40043644298963,84.1025641025641,Not significant
PRT,28.14238952536825,58.46153846153847,High-High
PRI,14.187124931805783,18.974358974358974,Not significant
QAT,-40.0681942171304,18.974358974358974,Not significant
KOR,73.90070921985816,86.66666666666667,Not significant
MDA,-38.221494817239495,47.94871794871795,Not significant
ROU,11.0556464811784,53.07692307692308,Not significant
RUS,67.19585379159847,81.02564102564102,Not significant
RWA,-14.072558647026725,77.94871794871796,Not significant
LCA,-22.515002727768685,18.974358974358974,Not significant
VCT,-12.408619749045279,18.974358974358974,Not significant
WSM,-9.749045280960178,18.974358974358974,Not significant
STP,-57.62138570649209,18.974358974358974,Not significant
SAU,32.9569012547736,64.87179487179488,Not significant
SEN,20.272776868521547,84.1025641025641,Not significant
SRB,56.1783960720131,76.92307692307693,Not significant
SYC,15.782869612656846,18.974358974358974,Not significant
SLE,-27.68139661756682,64.87179487179488,Not significant
SVK,20.908346972176766,38.46153846153847,High-High
SVN,13.461538461538467,38.46153846153847,High-High
SLB,-65.6001091107474,18.974358974358974,Low-Low
SOM,-56.5330060010911,39.743589743589745,Not significant
ZAF,36.91489361702128,80.0,Not significant
SSD,-38.34697217675941,58.46153846153847,Not significant
ESP,63.56519367157665,92.82051282051282,High-High
LKA,44.42716857610475,85.38461538461539,Not significant
SDN,-66.66393889798145,18.974358974358974,Low-Low
SUR,-30.493726132024005,18.974358974358974,Not significant
SWE,69.14348063284233,78.71794871794872,High-High
CHE,39.44626295690126,54.871794871794876,High-High
SYR,-57.59683578832516,39.743589743589745,Not significant
TJK,-58.153300600109105,18.974358974358974,Not significant
THA,51.38843426077469,91.28205128205128,Not significant
TLS,-72.51500272776867,18.974358974358974,Not significant
TGO,-59.749045280960175,18.974358974358974,Not significant
TON,-34.749045280960175,18.974358974358974,Not significant
TTO,-26.770321876704852,18.974358974358974,Not significant
TUN,18.38516093835242,70.51282051282051,Not significant
TKM,-41.132024004364425,18.974358974358974,Not significant
TUR,37.825968357883255,84.1025641025641,Not significant
UGA,-19.162575013638843,71.7948717948718,Not significant
UKR,25.248226950354606,93.33333333333333,Not significant
ARE,-8.153300600109109,18.974358974358974,Not significant
GBR,88.69885433715221,89.23076923076924,High-High
TZA,-7.310420076377525,82.05128205128204,Not significant
USA,98.93617021276596,100.0,Not significant
URY,45.80741953082378,69.74358974358974,Not significant
UZB,17.20676486633934,73.58974358974359,Not significant
VUT,-39.53627932351337,18.974358974358974,Not significant
VEN,-2.885979268957989,41.794871794871796,Not significant
VNM,53.47790507364976,92.3076923076923,Not significant
YEM,-79.96181123840698,18.974358974358974,Not significant
ZMB,-15.818330605564654,67.6923076923077,Not significant
ZWE,-19.048008728859784,68.71794871794872,Not significant
