model,n,loglik,aic,bic,df_model
leadership_fractional_logit,313,-153.05469678875238,324.10939357750476,-1507.4483737693502,8.0
participation_logit,1799,-641.0720356615301,1300.1440713230602,-12133.881287448394,8.0
participation_probit,1799,-646.517807242475,1311.03561448495,-12122.989744286504,8.0
ppml_no_exposure,1799,-1712.4848481527624,3442.969696305525,-11066.753441892351,8.0
ppml_area_exposure,1792,-1763.7626158249457,3543.5252316498913,-10912.27281464275,7.0
citation_ppml,1433,-39133.436175290364,78280.87235058073,63360.85263718407,6.0
negbin_area_exposure,1792,,,,7.0
