metric,k,n,rate,ci_low,ci_high
allocation accuracy,130,136,0.9558823529411765,0.9070924554902227,0.9796259829879816
wholly wrong allocation,1,136,0.007352941176470588,0.001299156036095813,0.04047285399552214
partially correct,5,136,0.03676470588235294,,
