iso3,gap,research_pct,need_pct,lisa_cat_gap9
AFG,-78.38516093835243,19.48717948717949,97.87234042553192,Not significant
ALB,-12.689579923622482,47.94871794871795,60.63829787234043,Not significant
DZA,33.16421167484998,73.58974358974359,40.42553191489361,Not significant
AGO,-69.34260774686307,19.48717948717949,88.82978723404256,Not significant
ATG,1.4020731042007633,19.48717948717949,18.085106382978726,Not significant
ARG,74.9454446262957,87.17948717948718,12.234042553191486,Not significant
ARM,-30.032733224222596,42.30769230769231,72.3404255319149,Not significant
AUS,89.47626841243863,96.92307692307692,7.4468085106382915,Not significant
AUT,55.098199672667754,63.07692307692307,7.9787234042553195,Not significant
AZE,0.48281505728314755,58.46153846153847,57.97872340425532,Not significant
BHS,8.316966721222043,19.48717948717949,11.170212765957446,Not significant
BHR,-23.066012002182212,19.48717948717949,42.5531914893617,Not significant
BGD,28.420621931260214,93.84615384615384,65.42553191489363,Not significant
BRB,-4.98090561920349,19.48717948717949,24.46808510638298,Not significant
BLR,33.07965084560829,68.71794871794872,35.638297872340424,Not significant
BEL,66.1811238406983,72.56410256410255,6.38297872340425,High-High
BLZ,-25.725586470267324,19.48717948717949,45.21276595744681,Not significant
BEN,-15.35188216039279,62.30769230769231,77.6595744680851,Not significant
BTN,-70.40643753409711,19.48717948717949,89.8936170212766,Not significant
BOL,-18.540643753409704,47.94871794871795,66.48936170212765,Not significant
BIH,1.4811783960720177,53.07692307692308,51.59574468085106,Not significant
BWA,-31.096563011456624,42.30769230769231,73.40425531914893,Not significant
BRA,87.82324058919804,98.46153846153847,10.63829787234043,Not significant
BRN,10.444626295690126,19.48717948717949,9.042553191489363,High-High
BGR,34.21985815602836,66.66666666666666,32.4468085106383,Not significant
BFA,9.427168576104748,75.38461538461539,65.95744680851064,Not significant
BDI,-80.51282051282051,19.48717948717949,100.0,Not significant
CPV,-52.321331151118386,19.48717948717949,71.80851063829788,Not significant
KHM,5.270049099836342,58.46153846153847,53.191489361702125,Not significant
CMR,-11.219312602291325,58.46153846153847,69.68085106382979,Not significant
