,0
9-comp average k=4,0.38674815471162566
9-comp average k=6,0.3641248216666806
9-comp average k=8,0.3525419761447462
9-comp min k=6,0.3525862264666202
9-comp max k=6,0.376144408705854
9-comp dense k=6,0.29768390910482867
11-comp average k=4,0.42928878532982395
11-comp average k=6,0.39841264234961626
11-comp average k=8,0.3884626517332809
11-comp min k=6,0.37893962463703834
11-comp max k=6,0.41990230938015277
11-comp dense k=6,0.3296625332061155
9-comp standardised log count,0.1902113782667459
