model,term,estimate,se,ci_low,ci_high,n
participation,log_area,0.7231859498675935,0.05149717967983609,0.6222533323897269,0.8241185673454602,1799
participation,rd,0.3228892402198962,0.12354405789736347,0.08074733623713254,0.5650311442026599,1799
participation,need,0.8798499635311241,0.9574396046394572,-0.9966971789344805,2.7563971059967285,1799
participation,log_gdp_pc,0.33773607995487465,0.3495003112392306,-0.34727194265955674,1.022744102569306,1799
participation,tertiary,0.2132204019253689,0.47199054004611474,-0.7118640576086261,1.1383048614593638,1799
participation,internet,1.3416075749748895,1.018300158445466,-0.6542240610296546,3.3374392109794337,1799
participation,log_population,0.10905272028156608,0.10798105710509343,-0.10258626265697994,0.3206917032201121,1799
intensity_offset,rd,0.520559034677808,0.12211592972287263,0.2812162104823533,0.7599018588732627,1792
intensity_offset,need,1.2816174654978632,0.583017703566698,0.13892376415788554,2.4243111668378408,1792
intensity_offset,log_gdp_pc,-0.044916248727452146,0.2359176800898293,-0.5073064050197598,0.4174739075648555,1792
intensity_offset,tertiary,-0.9606278699349446,0.42699544688719343,-1.7975235673964294,-0.12373217247346002,1792
intensity_offset,internet,2.1670919348420394,0.8314739629424877,0.5374329133919722,3.7967509562921067,1792
intensity_offset,log_population,-0.1065176908566764,0.05526843644026629,-0.21484183576143945,0.0018064540480866448,1792
intensity_free_area,log_area,0.8494090193779038,0.04826529220819825,0.7548107849465335,0.9440072538092741,1792
intensity_free_area,rd,0.4514352237852348,0.10995139235112672,0.23593445472699368,0.6669359928434759,1792
intensity_free_area,need,0.981750039311983,0.5762170129634918,-0.1476145533757104,2.1111146319996763,1792
intensity_free_area,log_gdp_pc,0.030805679183992574,0.2277628614239244,-0.4156013262226865,0.4772126845906716,1792
intensity_free_area,tertiary,-0.8420397878956455,0.44440242776402905,-1.7130525409553055,0.028972965164014486,1792
intensity_free_area,internet,1.8313821181002468,0.811918627970797,0.2400508489003097,3.422713387300184,1792
intensity_free_area,log_population,0.015594746450674796,0.06478593004336743,-0.11138334313925682,0.14257283604060642,1792
participation_cropFE,log_area,0.6683532292342582,0.05723497278931404,0.5561747439110727,0.7805317145574437,1799
participation_cropFE,rd,0.30970922419591534,0.14152047185235572,0.03233419629018364,0.587084252101647,1799
participation_cropFE,need,0.6071202914721467,1.0393758506980466,-1.430018942296705,2.644259525240998,1799
participation_cropFE,log_gdp_pc,0.3201402949968588,0.36298287199682683,-0.39129306112183426,1.031573651115552,1799
participation_cropFE,tertiary,0.10100973497376853,0.5069296030400601,-0.8925540296819355,1.0945734996294725,1799
participation_cropFE,internet,1.064032408651589,1.077093991077531,-1.0470330218248778,3.175097839128056,1799
participation_cropFE,log_population,0.3093832088326503,0.11825855624308662,0.07760069773249617,0.5411657199328044,1799
intensity_cropFE,rd,0.5017443006159398,0.10672131025373392,0.29257437613569615,0.7109142250961834,1792
intensity_cropFE,need,1.2479152850595518,0.6018842610181984,0.06824381060237794,2.4275867595167258,1792
intensity_cropFE,log_gdp_pc,0.13506284654459044,0.20131062761674304,-0.2594987332893803,0.5296244263785612,1792
intensity_cropFE,tertiary,-0.92339609307361,0.4629673558588304,-1.8307954365746566,-0.015996749572563584,1792
intensity_cropFE,internet,0.9236208412210214,0.8213685554391733,-0.6862319454734489,2.533473627915492,1792
intensity_cropFE,log_population,-0.12281732758050845,0.05649545468534262,-0.23354638405399464,-0.012088271107022264,1792
