term,ame,se,ci_low,ci_high,p_value,p25,p75,iqr_dprob
log_area,0.08115080928802944,0.004397701338643364,0.07253147298153664,0.08977014559452223,0.0,8.27203402652972,12.33776384351839,0.3512038459050432
rd,0.03623234544177591,0.013837872749406429,0.009110613016358286,0.06335407786719352,0.008835703868136147,0.17611,0.93978,0.027607383510361405
need,0.09873053618597852,0.10809868318021426,-0.11313899129464694,0.310600063666604,0.3610652837142996,0.25,0.7553191489361702,0.04848453359594962
log_gdp_pc,0.03789835272535737,0.03961904939247831,-0.039753557798121994,0.11555026324883673,0.33878486402262586,8.813760698811826,10.532527576050427,0.06720006874696141
tertiary,0.02392608453763598,0.0528580220414021,-0.07967373577471866,0.12752590484999063,0.6508021395445205,0.153302400879779,0.712404708862305,0.013418536059731118
internet,0.15054570747135762,0.11147008826905933,-0.06793165261282097,0.3690230675555362,0.1768402599987886,0.5459,0.9086718789,0.05640723032281947
log_population,0.012237124501008997,0.012057858781234049,-0.011395844627293615,0.03587009362931161,0.3101691699827791,15.76249184742953,17.820124558654015,0.025570691806956786
