,gini
baseline (fractional),0.8482324134714596
full counting,0.8408052449110821
citation weighted,0.9043536796228826
journal only,0.8545608543105759
excl. USA,0.8290346571617261
excl. China,0.8359801444911971
excl. USA+China,0.80900881673666
excl. top three,0.7709605440735973
2000-2014,0.8721183050978095
2015-2019,0.88248412605664
2020-2026,0.8567623703236625
ML-confirmed subset,0.8732388703143874
excl. conference/preprint,0.8505068964015156
