model,term,estimate,se,ci_low,ci_high,n
country_log1p_OLS,log_area,0.13811944401810916,0.03237231090006505,0.07467088055764824,0.20156800747857007,142
country_log1p_OLS,rd,0.01936951665313611,0.0796947732040461,-0.136829368582882,0.1755684018891542,142
country_log1p_OLS,need9,-1.0832189332592197,0.5046294601813239,-2.0722745007525036,-0.09416336576593554,142
country_log1p_OLS,log_gdp_pc,-0.019696572408437377,0.16381958844685657,-0.34077706572645017,0.30138392090957544,142
country_log1p_OLS,tertiary,-0.1724024205572189,0.29777755416958746,-0.7560357021340353,0.4112308610195975,142
country_log1p_OLS,internet,1.0777593979749243,0.5393583187578999,0.020636518447366248,2.1348822775024825,142
country_log1p_OLS,log_population,0.4496387517002972,0.05999442183610115,0.3320518456282356,0.5672256577723589,142
country_PPML_area_offset,log_area,-0.4731701996196298,0.07873723507106688,-0.6274923446011849,-0.3188480546380747,142
country_PPML_area_offset,rd,0.27819009146832463,0.1064921368536964,0.0694693385983691,0.48691084433828014,142
country_PPML_area_offset,need9,0.5330970663434091,0.5973341925296894,-0.6376564377490967,1.703850570435915,142
country_PPML_area_offset,log_gdp_pc,0.2441975946883822,0.23696046304259688,-0.2202363786350422,0.7086315680118066,142
country_PPML_area_offset,tertiary,-0.45578476732832696,0.4544924017717949,-1.3465735060481532,0.43500397139149927,142
country_PPML_area_offset,internet,0.7044704202675807,0.8406900527641812,-0.9432518053112922,2.3521926458464533,142
country_PPML_area_offset,log_population,0.36269881688190514,0.09359001209928734,0.17926576385463405,0.5461318699091762,142
