variable,unit,resolved_mean,resolved_median,unresolved_mean,unresolved_median,n_resolved,n_unresolved,test,statistic,p_value
Publication year,year,2020.5652387986213,2022.0,2021.0967291583565,2023.0,2031,5014,Mann-Whitney U,4567372.0,8.881531482970677e-12
Citation count,citations,22.954209748892172,4.0,15.367969684882329,2.0,2031,5014,Mann-Whitney U,5811177.0,1.355086034271677e-21
Number of authors,authors,4.775972427375677,4.0,4.292979656960511,4.0,2031,5014,Mann-Whitney U,5546444.0,3.0060907054998595e-09
Abstract available,share,0.9394387001477105,,0.8015556441962505,,2031,5014,chi-square,204.80406281203625,1.868694675352546e-46
Conference item,share,0.15706548498276712,,0.23434383725568408,,2031,5014,chi-square,51.200301948877616,8.340579819269629e-13
Preprint,share,0.03348104382077794,,0.03669724770642202,,2031,5014,chi-square,0.345276771210372,0.5567990907894738
