model,term,estimate,se,ci_low,ci_high,n
participation_baseline,const,-16.267580294931438,4.081882515088347,-24.267923013628373,-8.267237576234503,1799
participation_baseline,log_area,0.7126901174734486,0.05098376442912019,0.6127637753960987,0.8126164595507984,1799
participation_baseline,rd,0.3151049491389566,0.1227690117965882,0.07448210760007068,0.5557277906778425,1799
participation_baseline,need9,0.9441301596427542,0.9614684181339432,-0.9403133121724719,2.82857363145798,1799
participation_baseline,log_gdp_pc,0.3474584836752301,0.3460789340536608,-0.3308437628779575,1.0257607302284177,1799
participation_baseline,tertiary,0.25676321947575514,0.46911648888198815,-0.6626882032868262,1.1762146422383366,1799
participation_baseline,internet,1.3124385473488234,1.0087268233057787,-0.6646296965700016,3.289506791267648,1799
participation_baseline,log_population,0.11079909419926164,0.10730022968496235,-0.09950549151614015,0.32110367991466343,1799
intensity_baseline_offset,const,-13.050657946865126,2.5903095699613723,-18.12757141279885,-7.973744480931401,1792
intensity_baseline_offset,rd,0.521594096635794,0.12254557048738005,0.2814091920156146,0.7617790012559735,1792
intensity_baseline_offset,need9,1.2610036277823355,0.5898942318805901,0.10483217860845961,2.4171750769562115,1792
intensity_baseline_offset,log_gdp_pc,-0.05208534988314306,0.23841862375553435,-0.5193772656875961,0.41520656592131006,1792
intensity_baseline_offset,tertiary,-0.9851570157953442,0.4246330149096547,-1.8174224316649272,-0.15289159992576118,1792
intensity_baseline_offset,internet,2.1790470302445692,0.8349203667512729,0.5426331814531011,3.8154608790360376,1792
intensity_baseline_offset,log_population,-0.10797108074608297,0.05598908225313235,-0.21770766548967307,0.001765503997507134,1792
participation_cropFE,log_area,0.656299056957155,0.05664433956669376,0.545278191478378,0.767319922435932,1799
participation_cropFE,rd,0.30009844035423633,0.1400609774359878,0.02558396894022308,0.5746129117682496,1799
participation_cropFE,need9,0.6824487575020179,1.0388115345367859,-1.3535844369148688,2.7184819519189047,1799
participation_cropFE,log_gdp_pc,0.33594200964583515,0.3584556074159208,-0.3666180709457983,1.0385020902374686,1799
participation_cropFE,tertiary,0.1560097338901123,0.5024661690458504,-0.828805860889569,1.1408253286697936,1799
participation_cropFE,internet,1.036770534830639,1.0669581297482673,-1.054428972488179,3.127970042149457,1799
participation_cropFE,log_population,0.308326157868441,0.11691269486964068,0.0791814865884245,0.5374708291484575,1799
intensity_cropFE_offset,rd,0.5032866729296253,0.10710902280652507,0.2933568458095569,0.7132165000496936,1792
intensity_cropFE_offset,need9,1.2207489566578063,0.6099496671175242,0.025269576725263976,2.4162283365903487,1792
intensity_cropFE_offset,log_gdp_pc,0.125587365223921,0.20252778890793885,-0.2713598069041698,0.5225345373520118,1792
intensity_cropFE_offset,tertiary,-0.9494876940937338,0.460985682369371,-1.853003028926322,-0.045972359261145734,1792
intensity_cropFE_offset,internet,0.9354340748328336,0.8197523730649439,-0.6712510526156987,2.542119202281366,1792
intensity_cropFE_offset,log_population,-0.12386948135174924,0.05710872985822353,-0.23580053507669457,-0.011938427626803902,1792
participation_noRD_expanded,const,-18.779054792217632,3.9736060946889213,-26.567179626556772,-10.99092995787849,2173
participation_noRD_expanded,log_area,0.670370832734582,0.04916593165398035,0.5740073774264227,0.7667342880427412,2173
participation_noRD_expanded,need9,0.6915440100252943,0.9067354948500201,-1.0856249033848488,2.4687129234354375,2173
participation_noRD_expanded,log_gdp_pc,0.6282089729337964,0.33909889331566007,-0.03641264516228737,1.29283059102988,2173
participation_noRD_expanded,tertiary,0.5515146610625414,0.4902228939437228,-0.4093045554641539,1.5123338775892368,2173
participation_noRD_expanded,internet,0.3211886591592068,0.913689089826792,-1.4696090499684877,2.1119863682869013,2173
participation_noRD_expanded,log_population,0.18360516225334175,0.09542668476923014,-0.0034277030584062285,0.37063802756508973,2173
participation_noRD_restricted142,const,-17.909592376524486,4.236385454070907,-26.21275529113283,-9.606429461916145,1799
participation_noRD_restricted142,log_area,0.688590319940066,0.052999183642095306,0.5847138287915349,0.7924668110885972,1799
participation_noRD_restricted142,need9,0.5036187557125988,0.9544254307915021,-1.3670207145678712,2.374258225993069,1799
participation_noRD_restricted142,log_gdp_pc,0.5804665238797562,0.3530070818501176,-0.11141464283405733,1.2723476905935698,1799
participation_noRD_restricted142,tertiary,0.4049778021385711,0.504124458657357,-0.5830879805556002,1.3930435848327423,1799
participation_noRD_restricted142,internet,0.5214529658335437,0.9570219360262171,-1.3542755611926376,2.397181492859725,1799
participation_noRD_restricted142,log_population,0.14942391526352028,0.10362985474938141,-0.053686867768384355,0.35253469829542494,1799
intensity_free_area,const,-13.375637631417009,2.4836082437880496,-18.24342034094836,-8.507854921885656,1792
intensity_free_area,log_area,0.8487683069625751,0.048549537120149214,0.7536129627409922,0.943923651184158,1792
intensity_free_area,rd,0.45217676844109844,0.11006949440958161,0.23644452360178567,0.6679090132804112,1792
intensity_free_area,need9,0.9502863647914043,0.5795886824770774,-0.1856865787106886,2.086259308293497,1792
intensity_free_area,log_gdp_pc,0.021305733090306256,0.22985953857868235,-0.42921068402690626,0.4718221502075188,1792
intensity_free_area,tertiary,-0.8647009655810984,0.4419390200607485,-1.73088552826309,0.0014835971008930748,1792
intensity_free_area,internet,1.8451219703477972,0.8132126026763545,0.25125455732806157,3.4389893833675327,1792
intensity_free_area,log_population,0.014780465486072147,0.06541213257129153,-0.11342495850561865,0.14298588947776295,1792
