family,studies,share_pct,share_of_abstracted_pct
deep_learning,2087,29.62384669978708,31.4155559304876
tree_ensemble,1721,24.428672817601136,28.26050278387042
svm_kernel,730,10.361958836053939,12.097182385692594
other_ml,2875,40.80908445706174,42.11236713345706
classical_stat,1229,17.44499645138396,20.48253754007086
process_model,448,6.359119943222144,7.170575333220854
any_ml,4261,60.48261178140525,61.21140543276531
any_method_kw,5037,71.49751596877218,73.93284967099714
no_method_keyword,2008,28.50248403122782,26.06715032900287
