analysis,full_corpus,ml_subset,abs_change
country_gini,0.8434391583579176,0.8677621930213101,0.024323034663392473
crop_gini,0.7186567255164006,0.7135678639978065,0.005088861518594112
top3_crop_share_pct,69.32803451267262,67.70336349511014,1.624671017562477
spearman_research_vs_area_cell,0.5221970764704046,0.45586383428320415,0.06633324218720044
logit_log_area,0.7126901174734486,0.7070877151158858,0.005602402357562819
logit_need9,0.9441301596427542,0.049507839899415894,0.8946223197433383
logit_rd,0.3151049491389566,0.2538159640053045,0.06128898513365211
ppml_need9,1.2610036277823355,1.5681380824811781,0.3071344546988426
ppml_rd,0.521594096635794,0.5076573173300922,0.013936779305701807
morans_I_gap9,0.3525407952312617,0.2914196200548747,0.06112117517638699
morans_I_gap9_p,0.0001,0.0001,0.0
