period,term,estimate,se,ci_low,ci_high,n,events
2000-2019,log_area,0.7499342807127081,0.07444133404916686,0.6040319470152258,0.8958366144101904,1799,225
2000-2019,rd,0.5669405255949065,0.15806884904186305,0.25713127439515626,0.8767497767946567,1799,225
2000-2019,need9,0.6170829625594615,1.2961062615102577,-1.9232386301374964,3.157404555256419,1799,225
2000-2019,log_gdp_pc,0.0734921570612945,0.4200882843240909,-0.7498657505411458,0.8968500646637348,1799,225
2000-2019,tertiary,-0.7666131328089716,0.7374887411143921,-2.212064504396964,0.6788382387790208,1799,225
2000-2019,internet,1.6443149421083159,1.2824250493551204,-0.8691919674997215,4.157821851716353,1799,225
2000-2019,log_population,-0.030547032587000544,0.10127094208974542,-0.22903443176334304,0.16794036658934197,1799,225
2020-2026,log_area,0.7480455803006897,0.05514120224346375,0.6399708098392615,0.8561203507621179,1799,402
2020-2026,rd,0.28542495638560145,0.12850258078006935,0.03356452613621658,0.5372853866349863,1799,402
2020-2026,need9,0.447333854905483,0.9329521303911394,-1.3812187199610666,2.2758864297720325,1799,402
2020-2026,log_gdp_pc,0.2725264790505883,0.3534809226560228,-0.4202833985772048,0.9653363566783815,1799,402
2020-2026,tertiary,0.4187888634334171,0.48177774353008407,-0.5254781624385227,1.3630558893053568,1799,402
2020-2026,internet,1.2336287651177338,1.1034759851324445,-0.9291444235467134,3.3964019537821812,1799,402
2020-2026,log_population,0.06995285645698798,0.1191477497107287,-0.16357244181503292,0.30347815472900885,1799,402
