,"rank (primary, 9-comp)",rank (11-comp),equal weight (11),entropy (11),PCA (11)
"rank (primary, 9-comp)",1.0,0.9195572485444153,0.8831259013941563,0.9251876235243843,0.8534650259067358
rank (11-comp),0.9195572485444153,1.0,0.8981424603386571,0.9996878505421719,0.7343941963570322
equal weight (11),0.8831259013941563,0.8981424603386571,1.0,0.8994127583996582,0.7149023823513702
entropy (11),0.9251876235243843,0.9996878505421719,0.8994127583996582,1.0,0.742490051279312
PCA (11),0.8534650259067358,0.7343941963570322,0.7149023823513702,0.742490051279312,1.0
