model,k,llf,aic,bic,mcfadden,n
M0_constant,0,-1008.6085161576104,2019.2170323152209,2024.7120185491715,0.0,1799
M1_scale,1,-704.1094559567158,1412.2189119134316,1423.2088843813326,0.30190014801027243,1799
M2_scale_need,2,-662.308489383459,1330.616978766918,1347.1019374687696,0.34334434156703675,1799
M3_scale_capacity,6,-641.2388850623538,1296.4777701247076,1334.9426737623614,0.3642341159247182,1799
M4_full,7,-639.8245735028376,1295.649147005675,1339.6090368772793,0.36563635627529567,1799
