floor,countries_indexed,cells,area,need,need_lo,need_hi,rd
5,188,1799,0.7128426469857164,0.9496953312344134,-0.9015612348475479,2.8009518973163745,0.3155188101282671
7,168,1681,0.7091578648759657,0.7258827615218086,-1.1995186971907068,2.651284220234324,0.3412293250191863
9,83,894,0.6480426239712378,0.7648241979847282,-0.99322653825164,2.5228749342210963,1.4438612616255901
