model,k,deviance,aic,bic,n
M0_constant,0,2794.4804022605895,3872.1781816870125,-10622.057477760372,1792
M1_scale,0,2794.4804022605895,3872.1781816870125,-10622.057477760372,1792
M2_scale_need,1,2722.7803440729717,3802.478123499395,-10686.266448354456,1792
M3_scale_capacity,5,2461.073622620841,3548.771402047264,-10918.008819432447,1792
M4_full,6,2426.731138373819,3516.428917800241,-10944.860216085934,1792
