term,estimate,se_clustered,se_naive_poisson,se_quasipoisson,ratio_clustered_to_quasi
const,-13.050657946865126,2.5903095699613723,0.9109312709605505,15.470262126121838,0.16743798837044813
rd,0.521594096635794,0.12254557048738005,0.03535988473405825,0.6005136754263705,0.2040679096947651
need9,1.2610036277823355,0.5898942318805901,0.2141373705809122,3.6366753008621524,0.1622070113712772
log_gdp_pc,-0.05208534988314306,0.23841862375553435,0.08185342113084931,1.390109134664802,0.17151072373394943
tertiary,-0.9851570157953442,0.4246330149096547,0.1702648390864463,2.891592127199409,0.14685093755630194
internet,2.1790470302445692,0.8349203667512729,0.29669145173919803,5.038683680433004,0.16570208008761592
log_population,-0.10797108074608297,0.05598908225313235,0.017161282040662938,0.2914484770178235,0.1921062783584501
