component,PC1_loading,PC2_loading,PC1_var_explained
Undernourishment,-0.43932270778011884,-0.25047093196767867,0.4194574076675649
Food insecurity,-0.36615563215518165,-0.33302955245781185,0.4194574076675649
Cereal import dep.,0.04316593562644963,-0.5583816189793815,0.4194574076675649
Dietary adequacy,-0.37855961976437696,-0.1925342732657484,0.4194574076675649
Agri. employment,-0.43379281399175834,0.31132812887948047,0.4194574076675649
Agri. value added,-0.3541772778460604,0.34782200249865186,0.4194574076675649
Value added/worker,-0.4308829003682018,0.18898727023285072,0.4194574076675649
Temp. change,0.12778060137586028,0.47295261260927485,0.4194574076675649
Yield volatility,-0.11022351030566711,0.013799974464213707,0.4194574076675649
