term,label,ame,se,p_value,p25,p75,iqr_dprob,pp
tertiary,Tertiary enrolment,0.0239260845376359,0.0528580220414021,0.6508021395445205,0.153302400879779,0.712404708862305,0.0134185360597311,1.34185360597311
log_population,Population,0.0122371245010089,0.012057858781234,0.3101691699827791,15.76249184742953,17.820124558654015,0.0255706918069567,2.55706918069567
rd,R&D expenditure,0.0362323454417759,0.0138378727494064,0.0088357038681361,0.17611,0.93978,0.0276073835103614,2.76073835103614
need,Research need,0.0987305361859785,0.1080986831802142,0.3610652837142996,0.25,0.7553191489361702,0.0484845335959496,4.84845335959496
internet,Internet use,0.1505457074713576,0.1114700882690593,0.1768402599987886,0.5459,0.9086718789,0.0564072303228194,5.64072303228194
log_gdp_pc,GDP per capita,0.0378983527253573,0.0396190493924783,0.3387848640226258,8.813760698811826,10.532527576050429,0.0672000687469614,6.72000687469614
log_area,Harvested area,0.0811508092880294,0.0043977013386433,0.0,8.27203402652972,12.33776384351839,0.3512038459050432,35.12038459050432
