iso3,crop_standard_name,n_studies_fractional,res_share_in_crop,prod_share_in_crop,area_share_in_crop,within_gap_pp
BRA,maize,13.75,0.030538508927556312,0.0841542135638143,0.09169242004480026,-5.3615704636257995
BRA,rice,5.75,0.014770100179809917,0.01441930337178329,0.01042758792181457,0.035079680802662695
BRA,sugarcane,19.416666666666668,0.2446964923335434,0.3866332771737121,0.38002008647305163,-14.19367848401687
BRA,wheat,5.916666666666667,0.010461153757911642,0.00923365785630722,0.011573498995959235,0.12274959016044217
CHN,maize,58.852777777777774,0.13071098760568395,0.2302555335921416,0.21046792803474598,-9.954454598645764
CHN,rice,47.602777777777774,0.12227787767217513,0.2730841265699724,0.18165419644359368,-15.080624889779726
CHN,sugarcane,3.6666666666666665,0.04620877966813695,0.0559957478868406,0.0513765686904066,-0.9786968218703652
CHN,wheat,114.57896825396826,0.20258504861875584,0.17467853823326399,0.10936759773759465,2.7906510385491856
IDN,maize,4.791666666666666,0.010642207656572653,0.01410280402408321,0.014138542770498018,-0.34605963675105567
IDN,rice,26.958333333333332,0.06924822330678997,0.07186477205254845,0.06517476649365816,-0.2616548745758479
IDN,sugarcane,0.0,0.0,0.01594199725221089,0.01689574887530595,-1.594199725221089
IND,maize,14.025,0.03114927910610744,0.026722450284529044,0.048308591489684354,0.44268288215783963
IND,rice,114.25833333333334,0.29349687473242575,0.238925215064264,0.27333015240577196,5.4571659668161745
IND,sugarcane,20.066666666666666,0.2528880487292586,0.20914279328989932,0.1857824687001361,4.374525543935926
IND,wheat,77.99285714285715,0.1378977922124393,0.1370194662509818,0.1402447813454284,0.08783259614575101
USA,maize,159.51944444444445,0.35428988932985384,0.31146384530501503,0.16489690345601363,4.28260440248388
USA,rice,9.052777777777777,0.02325398864057996,0.011595528304304584,0.006408595425078257,1.1658460336275376
USA,sugarcane,3.7,0.04662885948330183,0.016130294715362183,0.0142378261248541,3.049856476793965
USA,wheat,47.94563492063492,0.08477182967754247,0.06306988193142635,0.06965089850918611,2.1701947746116126
