iso3,gap11,lisa_cat_gap11
GBR,81.97688322040655,High-High
TZA,-13.803640228510702,Low-Low
USA,86.01036269430051,Not significant
URY,35.028563836853984,Not significant
UZB,7.786634781453429,Not significant
VUT,-25.585226517869,Not significant
VEN,-6.90979141756344,Not significant
VNM,36.34914308489438,Not significant
YEM,-70.66294672512288,Not significant
ZMB,-17.799920286966923,Low-Low
ZWE,-20.401222266507233,Not significant
