iso3,gap9,lisa_cat_gap9
GBR,87.67636508569151,High-High
TZA,-7.586023648199813,Not significant
USA,97.92746113989637,Not significant
URY,44.3549887073203,Not significant
UZB,16.076790221867938,Not significant
VUT,-40.09299853859439,Not significant
VEN,-3.8009831274079957,Not significant
VNM,52.41131925069749,Not significant
YEM,-79.9893715955892,Not significant
ZMB,-16.245516141889198,Not significant
ZWE,-19.36495283645543,Not significant
