term,estimate,se_clustered,se_quasipoisson,phi_pearson,phi_deviance
rd,0.521594096635794,0.12254557048738005,0.6005136754263705,288.4191699933336,1.3595132427864531
need9,1.2610036277823355,0.5898942318805901,3.6366753008621524,288.4191699933336,1.3595132427864531
log_gdp_pc,-0.05208534988314306,0.23841862375553435,1.390109134664802,288.4191699933336,1.3595132427864531
tertiary,-0.9851570157953442,0.4246330149096547,2.891592127199409,288.4191699933336,1.3595132427864531
internet,2.1790470302445692,0.8349203667512729,5.038683680433004,288.4191699933336,1.3595132427864531
log_population,-0.10797108074608297,0.05598908225313235,0.2914484770178235,288.4191699933336,1.3595132427864531
