variable,test,statistic,p_value,resolved_mean,resolved_median,unresolved_mean,unresolved_median
Publication year,Mann-Whitney U,4567372.0,8.881531482970677e-12,2020.5652387986213,2022.0,2021.0967291583565,2023.0
Citation count,Mann-Whitney U,5811177.0,1.355086034271677e-21,22.954209748892172,4.0,15.367969684882329,2.0
Journal article,chi-square,68.24072599010437,1.4470601232924205e-16,0.7592319054652881,,0.658157159952134,
Conference paper or abstract,chi-square,51.200301948877616,8.340579819269629e-13,0.15706548498276712,,0.23434383725568408,
Preprint,chi-square,0.345276771210372,0.5567990907894738,0.03348104382077794,,0.03669724770642202,
Other document type,chi-square,9.756210471038543,0.001787179267543218,0.050221565731166914,,0.07080175508575987,
Abstract available,chi-square,204.80406281203625,1.868694675352546e-46,0.9394387001477105,,0.8015556441962505,
Explicit machine-learning method term,chi-square,93.24395585914641,4.622991373546453e-22,0.4982767109798129,,0.6236537694455525,
